Attraction,Event Name,Location (District/Place),Province No.,Venue,Month / Season,Duration,Type,Description / Source
Mount Everest (Sagarmatha NP),Mani Rimdu (Tengboche),"Tengboche, Solukhumbu",1,Tengboche Monastery,Oct–Nov (lunar / autumn),3–9 days (main rituals ~3 days),Religious / Cultural festival,Major Sherpa Buddhist festival with cham (masked) dances; widely attended by trekkers. (Trekking Planner (P.) Ltd.)
Dantakali Temple (Dharan),Dashain & Navaratri Temple Fairs (Dantakali),Bijayapur / Dharan,1,Dantakali Temple precinct,Sep–Oct (Dashain) & Sep (Navaratri),Multi-day (festival periods),Religious / Pilgrimage fair,Temple attracts large crowds during Dashain and special pujas on Ashtami; regular pujas & monthlies. (Wikipedia)
Koshi Tappu Wildlife Reserve,Koshi Tappu Bird-Watch Season / Bird Festival (historic),"Koshi Tappu, Saptari / Sunsari border area",1,Reserve camp / community grounds,Oct–Mar (migratory bird season); historic Bird Festivals held in Feb (past editions),1–3 days / seasonal tours,Eco / Wildlife festival & guided birding,Annual bird-watching season with organized birding tours; past bird festival editions recorded. (Explore Himalaya Travel & Adventure)
Ilām Tea Gardens,International Ilam Tea Festival,"Ilam Bazaar, Ilam District",1,Ilam Bazar / town public venue,June (early June as 2024/2025 edition),2–3 days,Cultural / Trade festival,"Festival to promote Nepali tea — stalls, tastings, cultural shows (Ilam hosted Intl. Tea Festival June 8–10, 2024). (The Annapurna Express)"
Bhedetar (Dhankuta / viewpoint),Bhedetar Seasonal Hillfair (proposed / local seasonal fair),"Bhedetar, Dhankuta",1,Bhedetar viewpoint / bazaar grounds,Spring (Mar–May) & Peak tourist weekends,1–2 days,Local cultural / seasonal fair (proposed),No single formal annual festival found online for Bhedetar; local hill fairs & weekend events commonly occur in rhododendron / spring season — recommended as a proposed event for your dataset. (proposed — based on local tourism practice).
Limbu Villages (Taplejung / Limbuwan),Chasok Tangnam — Limbu Harvest Festival,Taplejung / Limbu regions (eastern hills),1,Community Mangkhim / village squares,"Nov–Dec (Mangsir, full-moon harvest season)",1–3 days,Ethnic / Harvest festival,Traditional Limbu harvest festival celebrated across Limbu communities (Chasok Tangnam). (Wikipedia)
Hile (Dhankuta),Mangshire / Hile Cultural Week (Mangshire highlights),Hile Bazaar / Dhankuta,1,Hile Bazaar / Cholung Park / community grounds,Autumn / specific local dates (varies),2–5 days,Cultural tourism festival,Mangshire and related Aathpahariya cultural activities and Lakhey/Newar performances happen in Dhankuta/Hile region — local cultural week packages promote this. (royalmt.com.np)
Rhododendron Bloom Spots (TMJ / Milke Danda region),TMJ Rhododendron Season Walk & Community Festival (proposed / seasonal),Tinjure–Milke–Jaljale (Sankhuwasabha/Tehrathum/Taplejung),1,Milke Danda / ridgelines / Basantapur,Spring (Apr–May bloom),1–3 days (walks),Nature / Trekking & community events,TMJ ridge is “Rhododendron Capital”; many community treks & seasonal activities occur during bloom — specific local festivals exist informally; where formal events are held they’re scheduled in spring. (mixed: trekking sources & local event proposals). (Nepal Holidays)
Didi-Baini Waterfall,Didi-Baini Picnic & Nature Day (proposed / seasonal local fair),(local village near waterfall — depends on exact Didi-Baini site),1,Waterfall access clearing / village common ground,Monsoon / Post-monsoon (Jul–Oct),1 day,Local / Nature picnic (proposed),No formal large-scale event found; many waterfalls host local picnic days and community gatherings in peak season — proposed event for dataset.
Barun Valley (Makalu region approach),Barun Valley Trekker Season & Conservation Days (proposed),Barun Valley / Makalu region (Sankhuwasabha / Solukhumbu approach),1,Trekhead & local community grounds (Tumlingtar / Num),"Spring & Autumn trekking seasons (Mar–May, Sep–Nov)",Multi-day (trek windows),Trekking season / conservation outreach (proposed),Barun Valley is a trekking destination; conservation awareness days and guided trek seasons are the main “events” — formal festivals are rare; entry is usually as part of trekking itinerary. (proposed / practical).
Makalu Barun National Park,Makalu-Barun Conservation & Community Festival (proposed / seasonal),Makalu-Barun NP (Sankhuwasabha / Solukhumbu / Taplejung),1,Park entrance / local village community halls,Spring & Autumn (trekking seasons),1–3 days,Conservation / Community / Trekking outreach,Park and NGOs host occasional conservation / awareness events; large public festivals tied to the park are not common — proposed entry recommended.
Triveni Dham (Hetauda area),Triveni Dham Mela / Pilgrimage Fair (Triveni Mela),Triveni / Hetauda (Makwanpur),3,Triveni Dham temple complex,Maghe Sankranti / Makar Sankranti / other festive days (Jan),1–3 days,Religious pilgrimage fair,Pilgrimage gatherings and melas happen at Triveni Dham during key Hindu festival dates; local pilgrim fairs are historically recorded. (Triveni Dham pilgrimage activity: local sources).
Thamserku Viewpoint (Everest region),Sherpa / Everest region cultural events — Gyalpo Losar & Mani Rimdu access,Namche Bazaar / Tengboche (Solukhumbu),1,Namche / Tengboche monasteries / viewpoint lodges,Feb–Mar (Gyalpo Losar) & Oct–Nov (Mani Rimdu),1–7 days,Religious / Cultural,Gyalpo Losar (Sherpa New Year) and Mani Rimdu are the major cultural events which visitors combine with viewpoint visits; Thamserku viewpoint is visited during these periods. (Trek me Nepal)
Taplejung Micro Temple,Taplejung Local Temple Jatra / Puja Day (proposed / local jatra),Taplejung town,1,Micro temple precinct / village square,Local auspicious days and major festivals (Dashain / Tihar),1 day,Religious / Community fair (proposed),Small temples in Taplejung typically host annual jatras and special pujas during national festivals; no single widely publicized event for this micro-temple found online — proposed local jatra.
Hile Tiny Viewpoint,Hile Viewpoint Nature Day & Cultural Fair (proposed),Hile / Dhankuta,1,Tiny viewpoint / nearby park,Spring / Peak tourist weekends (Mar–May),1 day,Local tourism / cultural day (proposed),No specific formal event found online tied to the tiny viewpoint; local tourism groups run viewpoint visits and weekend fairs. (proposed).
Sankhuwasabha Micro Waterfall,Waterfall Day & Community Fair (proposed),Sankhuwasabha district (Khandbari area),1,Nearest village / waterfall access point,Post-monsoon / Spring (Sep–Nov / Mar–May),1 day,Local nature/community event (proposed),Small waterfalls in Sankhuwasabha attract local visitors seasonally; formal festivals are rare — proposed.
Kanchenjunga Base Camp Viewpoint,Kanchenjunga Celebration / Yatra Days (local celebrations & trekking windows),Taplejung / Kanchanjunga area,1,Viewpoint camps / village community halls,Spring & Autumn trekking seasons; some local rituals in Oct–Nov,Variable (short ceremonies & seasonal treks),Trekking / Cultural,Kanchenjunga area has local rituals and seasonal trekking events; formal base-camp festivals are uncommon but trekking seasons define the activity. (practical/observed trekking season info).
Ilaka Bazaar Homestays (Ilam),Ilam Tea Festival satellite events / Homestay Cultural Days,Ilam Bazaar & surrounding homestays,1,Homestay compounds / Ilam Bazar,June (tea festival) & Spring (Mar–May),1–2 days,Cultural / Homestay events,Homestays participate in Ilam Tea Festival with tea tasting sessions & cultural programs; homestay-hosted activity days often accompany the main festival. (The Annapurna Express)
